pays,geo_code,annee,type_energie,siec_code,siec_label,valeur,unite,unite_label
Belgique,BE,2019,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),62916.4,THS_T,Thousand tonnes
Belgique,BE,2020,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,3727.2,THS_T,Thousand tonnes
Belgique,BE,2020,Gaz naturel,G3000,Natural gas,833015.1,TJ_GCV,Terajoule (gross calorific value - GCV)
Belgique,BE,2020,Pétrole brut,O4100_TOT,Crude oil,27322.9,THS_T,Thousand tonnes
Belgique,BE,2020,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),52847.5,THS_T,Thousand tonnes
Belgique,BE,2021,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,3608.7,THS_T,Thousand tonnes
Belgique,BE,2021,Gaz naturel,G3000,Natural gas,818197.4,TJ_GCV,Terajoule (gross calorific value - GCV)
Belgique,BE,2021,Pétrole brut,O4100_TOT,Crude oil,28686.2,THS_T,Thousand tonnes
Belgique,BE,2021,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),57556.6,THS_T,Thousand tonnes
Belgique,BE,2022,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,4082.8,THS_T,Thousand tonnes
Belgique,BE,2022,Gaz naturel,G3000,Natural gas,940534.5,TJ_GCV,Terajoule (gross calorific value - GCV)
Belgique,BE,2022,Pétrole brut,O4100_TOT,Crude oil,27694.3,THS_T,Thousand tonnes
Belgique,BE,2022,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),55291.2,THS_T,Thousand tonnes
Belgique,BE,2023,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,3642.8,THS_T,Thousand tonnes
Belgique,BE,2023,Gaz naturel,G3000,Natural gas,889170.5,TJ_GCV,Terajoule (gross calorific value - GCV)
Belgique,BE,2023,Pétrole brut,O4100_TOT,Crude oil,30169.0,THS_T,Thousand tonnes
Belgique,BE,2023,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),56251.2,THS_T,Thousand tonnes
Bulgarie,BG,2019,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,620.281,THS_T,Thousand tonnes
Bulgarie,BG,2019,Gaz naturel,G3000,Natural gas,114340.926,TJ_GCV,Terajoule (gross calorific value - GCV)
Bulgarie,BG,2019,Pétrole brut,O4100_TOT,Crude oil,6984.887,THS_T,Thousand tonnes
Bulgarie,BG,2019,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),9257.498,THS_T,Thousand tonnes
Bulgarie,BG,2020,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,661.034,THS_T,Thousand tonnes
Bulgarie,BG,2020,Gaz naturel,G3000,Natural gas,113216.607,TJ_GCV,Terajoule (gross calorific value - GCV)
Bulgarie,BG,2020,Pétrole brut,O4100_TOT,Crude oil,4858.519,THS_T,Thousand tonnes
Bulgarie,BG,2020,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),7144.493,THS_T,Thousand tonnes
Bulgarie,BG,2021,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,914.257,THS_T,Thousand tonnes
Bulgarie,BG,2021,Gaz naturel,G3000,Natural gas,127189.712,TJ_GCV,Terajoule (gross calorific value - GCV)
Bulgarie,BG,2021,Pétrole brut,O4100_TOT,Crude oil,4153.028,THS_T,Thousand tonnes
Bulgarie,BG,2021,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),6500.345,THS_T,Thousand tonnes
Bulgarie,BG,2022,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,1427.356,THS_T,Thousand tonnes
Bulgarie,BG,2022,Gaz naturel,G3000,Natural gas,114775.111,TJ_GCV,Terajoule (gross calorific value - GCV)
Bulgarie,BG,2022,Pétrole brut,O4100_TOT,Crude oil,7108.78,THS_T,Thousand tonnes
Bulgarie,BG,2022,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),9266.279,THS_T,Thousand tonnes
Bulgarie,BG,2023,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,644.644,THS_T,Thousand tonnes
Bulgarie,BG,2023,Gaz naturel,G3000,Natural gas,100744.314,TJ_GCV,Terajoule (gross calorific value - GCV)
Bulgarie,BG,2023,Pétrole brut,O4100_TOT,Crude oil,6247.185,THS_T,Thousand tonnes
Bulgarie,BG,2023,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),8196.816,THS_T,Thousand tonnes
Chypre,CY,2019,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,32.454,THS_T,Thousand tonnes
Chypre,CY,2019,Gaz naturel,G3000,Natural gas,0.0,TJ_GCV,Terajoule (gross calorific value - GCV)
Chypre,CY,2019,Pétrole brut,O4100_TOT,Crude oil,0.0,THS_T,Thousand tonnes
Chypre,CY,2019,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),2591.794,THS_T,Thousand tonnes
Chypre,CY,2020,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,23.643,THS_T,Thousand tonnes
Chypre,CY,2020,Gaz naturel,G3000,Natural gas,0.0,TJ_GCV,Terajoule (gross calorific value - GCV)
Chypre,CY,2020,Pétrole brut,O4100_TOT,Crude oil,0.0,THS_T,Thousand tonnes
Chypre,CY,2020,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),2250.251,THS_T,Thousand tonnes
Chypre,CY,2021,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,64.823,THS_T,Thousand tonnes
Chypre,CY,2021,Gaz naturel,G3000,Natural gas,0.0,TJ_GCV,Terajoule (gross calorific value - GCV)
Chypre,CY,2021,Pétrole brut,O4100_TOT,Crude oil,0.0,THS_T,Thousand tonnes
Chypre,CY,2021,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),2259.573,THS_T,Thousand tonnes
Chypre,CY,2022,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,77.65,THS_T,Thousand tonnes
Chypre,CY,2022,Gaz naturel,G3000,Natural gas,0.0,TJ_GCV,Terajoule (gross calorific value - GCV)
Chypre,CY,2022,Pétrole brut,O4100_TOT,Crude oil,0.0,THS_T,Thousand tonnes
Chypre,CY,2022,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),2460.284,THS_T,Thousand tonnes
Chypre,CY,2023,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,22.002,THS_T,Thousand tonnes
Chypre,CY,2023,Gaz naturel,G3000,Natural gas,0.0,TJ_GCV,Terajoule (gross calorific value - GCV)
Chypre,CY,2023,Pétrole brut,O4100_TOT,Crude oil,0.0,THS_T,Thousand tonnes
Chypre,CY,2023,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),2489.344,THS_T,Thousand tonnes
Croatie,HR,2019,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,768.2,THS_T,Thousand tonnes
Croatie,HR,2019,Gaz naturel,G3000,Natural gas,77108.64,TJ_GCV,Terajoule (gross calorific value - GCV)
Croatie,HR,2019,Pétrole brut,O4100_TOT,Crude oil,2006.0,THS_T,Thousand tonnes
Croatie,HR,2019,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),4813.9,THS_T,Thousand tonnes
Croatie,HR,2020,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,639.6,THS_T,Thousand tonnes
Croatie,HR,2020,Gaz naturel,G3000,Natural gas,82818.277,TJ_GCV,Terajoule (gross calorific value - GCV)
Croatie,HR,2020,Pétrole brut,O4100_TOT,Crude oil,1943.8,THS_T,Thousand tonnes
Croatie,HR,2020,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),4409.8,THS_T,Thousand tonnes
Croatie,HR,2021,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,704.8,THS_T,Thousand tonnes
Croatie,HR,2021,Gaz naturel,G3000,Natural gas,89078.889,TJ_GCV,Terajoule (gross calorific value - GCV)
Croatie,HR,2021,Pétrole brut,O4100_TOT,Crude oil,1761.7,THS_T,Thousand tonnes
Croatie,HR,2021,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),4564.6,THS_T,Thousand tonnes
Croatie,HR,2022,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,683.1,THS_T,Thousand tonnes
Croatie,HR,2022,Gaz naturel,G3000,Natural gas,118509.944,TJ_GCV,Terajoule (gross calorific value - GCV)
Croatie,HR,2022,Pétrole brut,O4100_TOT,Crude oil,1473.9,THS_T,Thousand tonnes
Croatie,HR,2022,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),4757.2,THS_T,Thousand tonnes
